"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.05.2022","94,40","92,82","94,79","92,32","24,29M","0,54%"
"23.05.2022","93,89","92,66","94,77","92,55","27,24M","2,21%"
"20.05.2022","91,86","91,93","93,59","90,40","28,80M","0,79%"
"19.05.2022","91,14","89,00","92,30","89,00","24,39M","0,54%"
"18.05.2022","90,65","92,51","92,92","89,83","25,45M","-1,59%"
"17.05.2022","92,11","91,73","92,45","91,12","23,12M","1,28%"
"16.05.2022","90,95","88,98","91,97","88,97","26,10M","2,35%"
"13.05.2022","88,86","87,36","88,94","86,35","25,80M","2,97%"
"12.05.2022","86,30","85,95","86,38","83,40","29,49M","-0,56%"
"11.05.2022","86,79","86,43","88,94","86,28","33,02M","2,08%"
"10.05.2022","85,02","85,64","86,89","83,51","34,48M","0,66%"
"09.05.2022","84,46","89,44","89,56","84,02","45,85M","-7,89%"
"06.05.2022","91,69","90,98","91,82","89,35","29,62M","1,53%"
"05.05.2022","90,31","92,04","92,05","88,39","41,01M","-1,52%"
"04.05.2022","91,70","89,50","91,88","88,91","46,19M","3,98%"
"03.05.2022","88,19","86,26","88,78","86,12","33,91M","2,06%"
"02.05.2022","86,41","85,01","87,04","84,63","36,34M","1,36%"
"29.04.2022","85,25","88,14","88,14","84,70","34,66M","-2,24%"
"28.04.2022","87,20","84,88","88,14","84,07","33,68M","3,02%"
"27.04.2022","84,64","83,39","85,47","82,28","32,77M","2,86%"
"26.04.2022","82,29","82,73","84,72","82,18","28,94M","0,04%"
"25.04.2022","82,26","82,37","82,65","79,29","37,70M","-3,37%"
"22.04.2022","85,13","86,66","88,12","85,00","23,59M","-2,18%"
"21.04.2022","87,03","88,95","89,80","86,79","29,01M","-1,06%"
"20.04.2022","87,96","87,97","88,50","87,30","20,69M","0,23%"
"19.04.2022","87,76","88,01","88,66","87,27","20,38M","-0,89%"
"18.04.2022","88,55","88,50","88,89","87,75","19,03M","0,82%"
"14.04.2022","87,83","86,67","88,46","86,23","24,57M","1,17%"
"13.04.2022","86,81","86,61","87,11","85,19","19,31M","1,41%"
"12.04.2022","85,60","85,71","86,82","85,38","22,44M","2,09%"
"11.04.2022","83,85","85,78","85,93","83,50","21,80M","-3,44%"
"08.04.2022","86,84","85,17","87,21","85,17","24,87M","2,10%"
"07.04.2022","85,05","83,83","85,44","82,71","26,12M","1,67%"
"06.04.2022","83,65","83,42","84,70","82,94","24,77M","1,11%"
"05.04.2022","82,73","83,50","85,07","82,56","21,75M","-0,52%"
"04.04.2022","83,16","83,56","83,66","82,05","20,88M","0,05%"
"01.04.2022","83,12","81,99","84,14","81,99","18,67M","0,64%"
"31.03.2022","82,59","82,87","84,40","82,55","27,86M","-1,42%"
"30.03.2022","83,78","83,06","84,01","82,71","22,08M","1,71%"
"29.03.2022","82,37","80,81","82,49","79,76","27,04M","-0,53%"
"28.03.2022","82,81","83,17","83,31","82,02","21,55M","-2,81%"
"25.03.2022","85,20","82,92","85,49","82,79","22,41M","2,18%"
"24.03.2022","83,38","83,46","84,65","82,75","19,87M","0,30%"
"23.03.2022","83,13","83,34","84,27","83,05","27,72M","1,58%"
"22.03.2022","81,84","81,63","82,20","80,79","23,13M","-0,44%"
"21.03.2022","82,20","80,12","82,51","79,74","33,09M","4,49%"
"18.03.2022","78,67","79,06","79,39","78,10","41,46M","-0,39%"
"17.03.2022","78,98","78,18","79,15","77,07","34,04M","2,66%"
"16.03.2022","76,93","77,81","78,62","76,25","37,81M","-0,38%"
"15.03.2022","77,22","78,82","79,17","76,37","47,96M","-5,69%"
"14.03.2022","81,88","83,06","83,45","80,50","37,46M","-3,58%"
"11.03.2022","84,92","84,07","86,23","83,97","35,30M","-0,52%"
"10.03.2022","85,36","84,01","85,68","82,90","44,64M","3,10%"
"09.03.2022","82,79","84,03","86,57","81,60","65,47M","-5,68%"
"08.03.2022","87,78","89,05","91,50","85,43","72,08M","0,76%"
"07.03.2022","87,12","84,92","87,23","83,90","55,21M","3,60%"
"04.03.2022","84,09","81,05","84,28","80,66","42,84M","3,76%"
